ID ;Gender;Age_months;Age_group;Midtesting_age_months;Midtesting_age_group;AdditionalSupportNeeds;Mediansplit_midtesting_entiresample;Dropout;Reason_Dropout;StoppedEarly;Warm-up.Crit.reached;Trial_Nr;Success;Trial_correct;CumulativeNrCorrectSearches;CumulativeProportionCorrect;Nr.AdministeredTestTrials;Test.NrCorrectTrials;Test.NrErrors;Sanitycheck.NrTrials;ProportionCorrect;Video;Comment;PC1;PC2
1;m;61;5;62;5;no;old;no;;no;yes, within 2 trials;1;no;0;0;0;8;6;2;8;0.75;ID1_AdditionalTask_Foil_m_5y;;-2.472;-0.253
1;m;61;5;62;5;no;old;no;;no;yes, within 2 trials;2;yes;1;1;0.5;8;6;2;8;0.75;ID1_AdditionalTask_Foil_m_5y;;-2.472;-0.253
1;m;61;5;62;5;no;old;no;;no;yes, within 2 trials;3;yes;1;2;0.666666667;8;6;2;8;0.75;ID1_AdditionalTask_Foil_m_5y;;-2.472;-0.253
1;m;61;5;62;5;no;old;no;;no;yes, within 2 trials;4;yes;1;3;0.75;8;6;2;8;0.75;ID1_AdditionalTask_Foil_m_5y;;-2.472;-0.253
1;m;61;5;62;5;no;old;no;;no;yes, within 2 trials;5;yes;1;4;0.8;8;6;2;8;0.75;ID1_AdditionalTask_Foil_m_5y;;-2.472;-0.253
1;m;61;5;62;5;no;old;no;;no;yes, within 2 trials;6;yes;1;5;0.833333333;8;6;2;8;0.75;ID1_AdditionalTask_Foil_m_5y;;-2.472;-0.253
1;m;61;5;62;5;no;old;no;;no;yes, within 2 trials;7;no;0;5;0.714285714;8;6;2;8;0.75;ID1_AdditionalTask_Foil_m_5y;;-2.472;-0.253
1;m;61;5;62;5;no;old;no;;no;yes, within 2 trials;8;yes;1;6;0.75;8;6;2;8;0.75;ID1_AdditionalTask_Foil_m_5y;;-2.472;-0.253
2;m;42;3;42;3;no information;young;no;;no;no (3 out of 5 correct);1;;;;;;;;;;ID2_AdditionalTask_Foil_m_3y;;0.961;-0.717
3;m;43;3;44;3;no information;young;no;;no;no (2 out of 5 correct);1;;;;;;;;;;ID3_AdditionalTask_Foil_m_3y;;-1.378;-0.499
4;m;62;5;63;5;no information;old;no;;no;yes, within 2 trials;1;yes;1;1;1;8;8;0;8;1;ID4_AdditionalTask_Foil_m_5y;;-1.746;-1.605
4;m;62;5;63;5;no information;old;no;;no;yes, within 2 trials;2;yes;1;2;1;8;8;0;8;1;ID4_AdditionalTask_Foil_m_5y;;-1.746;-1.605
