ID;Gender;Age_months;Age_group;Midtesting_age_months;Midtesting_age_group;Mediansplit_midtesting_entiresample;AdditionalSupportNeeds;TestingLocation;Trial;StoppedEarly;TotalNr_Rounds;RoundNr;Position;BoxID;Correct;emptied_all_boxes;NrBoxesEmptied;Efficiency;NoSearches_before_FirstError;NoSearches_before_FirstError_numeric;Video;NrBoxesEmptiedDisregardingFirstSearch;NrRoundsDisregardingFirstSearch;EfficiencyDisregardingFirstSearch
1;m;61;5;62;5;old;no;Fife;1;no;8;1;2;lightblue;yes;yes;8;1;no error;;ID1_WM_ScrambledBox_m_5y;7;7;1
1;m;61;5;62;5;old;no;Fife;1;no;8;2;3;blue;yes;yes;8;1;no error;;ID1_WM_ScrambledBox_m_5y;7;7;1
1;m;61;5;62;5;old;no;Fife;1;no;8;3;1;yellow;yes;yes;8;1;no error;;ID1_WM_ScrambledBox_m_5y;7;7;1
1;m;61;5;62;5;old;no;Fife;1;no;8;4;1;orange;yes;yes;8;1;no error;;ID1_WM_ScrambledBox_m_5y;7;7;1
1;m;61;5;62;5;old;no;Fife;1;no;8;5;7;green;yes;yes;8;1;no error;;ID1_WM_ScrambledBox_m_5y;7;7;1
1;m;61;5;62;5;old;no;Fife;1;no;8;6;6;red;yes;yes;8;1;no error;;ID1_WM_ScrambledBox_m_5y;7;7;1
1;m;61;5;62;5;old;no;Fife;1;no;8;7;4;white;yes;yes;8;1;no error;;ID1_WM_ScrambledBox_m_5y;7;7;1
1;m;61;5;62;5;old;no;Fife;1;no;8;8;1;purple;yes;yes;8;1;no error;;ID1_WM_ScrambledBox_m_5y;7;7;1
1;m;61;5;62;5;old;no;Fife;2;no;8;1;4;white;yes;yes;8;1;no error;;ID1_WM_ScrambledBox_m_5y;7;7;1
1;m;61;5;62;5;old;no;Fife;2;no;8;2;5;yellow;yes;yes;8;1;no error;;ID1_WM_ScrambledBox_m_5y;7;7;1
1;m;61;5;62;5;old;no;Fife;2;no;8;3;1;blue;yes;yes;8;1;no error;;ID1_WM_ScrambledBox_m_5y;7;7;1
1;m;61;5;62;5;old;no;Fife;2;no;8;4;2;purple;yes;yes;8;1;no error;;ID1_WM_ScrambledBox_m_5y;7;7;1
1;m;61;5;62;5;old;no;Fife;2;no;8;5;5;red;yes;yes;8;1;no error;;ID1_WM_ScrambledBox_m_5y;7;7;1
1;m;61;5;62;5;old;no;Fife;2;no;8;6;3;green;yes;yes;8;1;no error;;ID1_WM_ScrambledBox_m_5y;7;7;1
1;m;61;5;62;5;old;no;Fife;2;no;8;7;4;orange;yes;yes;8;1;no error;;ID1_WM_ScrambledBox_m_5y;7;7;1
1;m;61;5;62;5;old;no;Fife;2;no;8;8;2;lightblue;yes;yes;8;1;no error;;ID1_WM_ScrambledBox_m_5y;7;7;1
2;m;42;3;42;3;young;no information;Fife;1;no;9;1;6;blue;yes;yes;8;0.889;3;3;ID2_WM_ScrambledBox_m_3y;7;8;0.875
2;m;42;3;42;3;young;no information;Fife;1;no;9;2;6;purple;yes;yes;8;0.889;3;3;ID2_WM_ScrambledBox_m_3y;7;8;0.875
2;m;42;3;42;3;young;no information;Fife;1;no;9;3;4;green;yes;yes;8;0.889;3;3;ID2_WM_ScrambledBox_m_3y;7;8;0.875
2;m;42;3;42;3;young;no information;Fife;1;no;9;4;4;purple;no;yes;8;0.889;3;3;ID2_WM_ScrambledBox_m_3y;7;8;0.875
2;m;42;3;42;3;young;no information;Fife;1;no;9;5;3;yellow;yes;yes;8;0.889;3;3;ID2_WM_ScrambledBox_m_3y;7;8;0.875
2;m;42;3;42;3;young;no information;Fife;1;no;9;6;6;red;yes;yes;8;0.889;3;3;ID2_WM_ScrambledBox_m_3y;7;8;0.875
2;m;42;3;42;3;young;no information;Fife;1;no;9;7;8;orange;yes;yes;8;0.889;3;3;ID2_WM_ScrambledBox_m_3y;7;8;0.875
2;m;42;3;42;3;young;no information;Fife;1;no;9;8;3;lightblue;yes;yes;8;0.889;3;3;ID2_WM_ScrambledBox_m_3y;7;8;0.875
2;m;42;3;42;3;young;no information;Fife;1;no;9;9;5;white;yes;yes;8;0.889;3;3;ID2_WM_ScrambledBox_m_3y;7;8;0.875
2;m;42;3;42;3;young;no information;Fife;2;no;11;1;1;yellow;yes;no;7;0.636;7;7;ID2_WM_ScrambledBox_m_3y;6;10;0.6
2;m;42;3;42;3;young;no information;Fife;2;no;11;2;2;purple;yes;no;7;0.636;7;7;ID2_WM_ScrambledBox_m_3y;6;10;0.6
2;m;42;3;42;3;young;no information;Fife;2;no;11;3;3;lightblue;yes;no;7;0.636;7;7;ID2_WM_ScrambledBox_m_3y;6;10;0.6
2;m;42;3;42;3;young;no information;Fife;2;no;11;4;3;green;yes;no;7;0.636;7;7;ID2_WM_ScrambledBox_m_3y;6;10;0.6
2;m;42;3;42;3;young;no information;Fife;2;no;11;5;3;white;yes;no;7;0.636;7;7;ID2_WM_ScrambledBox_m_3y;6;10;0.6
2;m;42;3;42;3;young;no information;Fife;2;no;11;6;5;orange;yes;no;7;0.636;7;7;ID2_WM_ScrambledBox_m_3y;6;10;0.6
2;m;42;3;42;3;young;no information;Fife;2;no;11;7;1;red;yes;no;7;0.636;7;7;ID2_WM_ScrambledBox_m_3y;6;10;0.6
2;m;42;3;42;3;young;no information;Fife;2;no;11;8;2;lightblue;no;no;7;0.636;7;7;ID2_WM_ScrambledBox_m_3y;6;10;0.6
2;m;42;3;42;3;young;no information;Fife;2;no;11;9;3;white;no;no;7;0.636;7;7;ID2_WM_ScrambledBox_m_3y;6;10;0.6
2;m;42;3;42;3;young;no information;Fife;2;no;11;10;4;lightblue;no;no;7;0.636;7;7;ID2_WM_ScrambledBox_m_3y;6;10;0.6
2;m;42;3;42;3;young;no information;Fife;2;no;11;11;3;lightblue;no;no;7;0.636;7;7;ID2_WM_ScrambledBox_m_3y;6;10;0.6
3;m;43;3;44;3;young;no information;Fife;1;no;9;1;5;red;yes;yes;8;0.889;5;5;ID3_WM_ScrambledBox_m_3y;7;8;0.875
3;m;43;3;44;3;young;no information;Fife;1;no;9;2;1;lightblue;yes;yes;8;0.889;5;5;ID3_WM_ScrambledBox_m_3y;7;8;0.875
3;m;43;3;44;3;young;no information;Fife;1;no;9;3;6;blue;yes;yes;8;0.889;5;5;ID3_WM_ScrambledBox_m_3y;7;8;0.875
3;m;43;3;44;3;young;no information;Fife;1;no;9;4;4;purple;yes;yes;8;0.889;5;5;ID3_WM_ScrambledBox_m_3y;7;8;0.875
3;m;43;3;44;3;young;no information;Fife;1;no;9;5;3;yellow;yes;yes;8;0.889;5;5;ID3_WM_ScrambledBox_m_3y;7;8;0.875
3;m;43;3;44;3;young;no information;Fife;1;no;9;6;7;blue;no;yes;8;0.889;5;5;ID3_WM_ScrambledBox_m_3y;7;8;0.875
3;m;43;3;44;3;young;no information;Fife;1;no;9;7;8;orange;yes;yes;8;0.889;5;5;ID3_WM_ScrambledBox_m_3y;7;8;0.875
3;m;43;3;44;3;young;no information;Fife;1;no;9;8;8;green;yes;yes;8;0.889;5;5;ID3_WM_ScrambledBox_m_3y;7;8;0.875
3;m;43;3;44;3;young;no information;Fife;1;no;9;9;5;white;yes;yes;8;0.889;5;5;ID3_WM_ScrambledBox_m_3y;7;8;0.875
3;m;43;3;44;3;young;no information;Fife;2;no;8;1;1;yellow;yes;yes;8;1;no error;;ID3_WM_ScrambledBox_m_3y;7;7;1
3;m;43;3;44;3;young;no information;Fife;2;no;8;2;1;lightblue;yes;yes;8;1;no error;;ID3_WM_ScrambledBox_m_3y;7;7;1
3;m;43;3;44;3;young;no information;Fife;2;no;8;3;4;green;yes;yes;8;1;no error;;ID3_WM_ScrambledBox_m_3y;7;7;1
3;m;43;3;44;3;young;no information;Fife;2;no;8;4;6;white;yes;yes;8;1;no error;;ID3_WM_ScrambledBox_m_3y;7;7;1
3;m;43;3;44;3;young;no information;Fife;2;no;8;5;6;blue;yes;yes;8;1;no error;;ID3_WM_ScrambledBox_m_3y;7;7;1
3;m;43;3;44;3;young;no information;Fife;2;no;8;6;7;purple;yes;yes;8;1;no error;;ID3_WM_ScrambledBox_m_3y;7;7;1
3;m;43;3;44;3;young;no information;Fife;2;no;8;7;4;orange;yes;yes;8;1;no error;;ID3_WM_ScrambledBox_m_3y;7;7;1
3;m;43;3;44;3;young;no information;Fife;2;no;8;8;4;red;yes;yes;8;1;no error;;ID3_WM_ScrambledBox_m_3y;7;7;1
4;m;62;5;63;5;old;no information;Fife;1;no;9;1;2;lightblue;yes;yes;8;0.889;6;6;ID4_WM_ScrambledBox_m;7;8;0.875
4;m;62;5;63;5;old;no information;Fife;1;no;9;2;4;white;yes;yes;8;0.889;6;6;ID4_WM_ScrambledBox_m;7;8;0.875
4;m;62;5;63;5;old;no information;Fife;1;no;9;3;1;yellow;yes;yes;8;0.889;6;6;ID4_WM_ScrambledBox_m;7;8;0.875
4;m;62;5;63;5;old;no information;Fife;1;no;9;4;4;purple;yes;yes;8;0.889;6;6;ID4_WM_ScrambledBox_m;7;8;0.875
4;m;62;5;63;5;old;no information;Fife;1;no;9;5;7;green;yes;yes;8;0.889;6;6;ID4_WM_ScrambledBox_m;7;8;0.875
4;m;62;5;63;5;old;no information;Fife;1;no;9;6;7;blue;yes;yes;8;0.889;6;6;ID4_WM_ScrambledBox_m;7;8;0.875
4;m;62;5;63;5;old;no information;Fife;1;no;9;7;4;white;no;yes;8;0.889;6;6;ID4_WM_ScrambledBox_m;7;8;0.875
4;m;62;5;63;5;old;no information;Fife;1;no;9;8;5;red;yes;yes;8;0.889;6;6;ID4_WM_ScrambledBox_m;7;8;0.875
4;m;62;5;63;5;old;no information;Fife;1;no;9;9;8;orange;yes;yes;8;0.889;6;6;ID4_WM_ScrambledBox_m;7;8;0.875
4;m;62;5;63;5;old;no information;Fife;2;no;11;1;5;blue;yes;yes;8;0.727;7;7;ID4_WM_ScrambledBox_m;7;10;0.7
