ID ;Gender;Age_months;Age_group;AdditionalSupportNeeds;MidtestingAgeMonths;MidtestingAgeGroup;Mediansplit_midtesting_entiresample;Dropout;Reason_Dropout;Success;ExperimenterStopped_TimeUp;ExperimenterStopped_ChildUnmotivated;ChildStoppedNotCrying;ChildStoppedCrying;AfterHowManyMin;WasAnyToolUsedtoTryToGetSticker;FirstToolUsedToTryToGetSticker;IfToolsWereUsedToTryToGetSticker_WhichOrder;DidChildTryToGetToolsFromTheBoxes;WereAnyToolsFromTheBoxesObtained;IfToolsWereObtainedFromBoxes_WasStickUsed;IfToolsWereObtainedFromBoxes_WhichOrder;Description;Category;Video;Success;Specifier1;Specifier2;Specifier3;Specifier4;Specifier5;Specifier6;Specifier7;Specifier8;Score
3;m;43;3;no information;44;3;young;yes;Experimenter error (child did not start at side of table, was only given 5 min);no;;;;;;;;;;;;;"Picked up short stick, inserted into tube, ""I can't do it"" (several times), ""I nearly got it"", ""It's not coming out!""";dropout;ID3_AdditionalTask_ToolUse_m_3y_Dropout_View1, ID3_AdditionalTask_ToolUse_m_3y_Dropout_View2;;;;;;;;;;
1;m;61;5;no;62;5;old;yes;Experimenter error (Tube was not firmly fixed on table);incorrect;no;no;no;no;;;;;;;;;"Points to hose ""It's that one!"" (several times), after a while - because E doesn't say whether he is right or wrong - picks up short stick ""I don't know"", puts finger on tube and traces the way the sticker would come out ""It's going to be all the way to there"", ... ""I need some help"" .... ""It's that thing?"" [points to hose], points to box ""How do you open it?"", sticks finger into rope box, suggests using magic words ""Please open"", ""Maybe that thing"" picks up short stick and inserts into tube, ""This is not managing it"", hits stick on top of tube slightly, pushes stick into tube with some force, tries to make sticker move by this, then manages to tip U-tube, invalid success ";dropout;ID1_AdditionalTask_ToolUse_m_5y_Dropout_View1, ID1_AdditionalTask_ToolUse_m_5y_Dropout_View2;;;;;;;;;;
4;m;62;5;no information;63;5;old;no;;yes;no;no;no;no;04:56;yes;rope;rope, long stick, hose;yes, with tool;yes;yes;rope, long stick, hose;"""That one"" points to box with long stick, tries to put finger in all of the three boxes, ""How do I get it out?"", again puts finger in all of the boxes, picks up short stick, goes to the tube, then goes to rope box and inserts stick in rope box, gets rope out, takes rope to tube and inserts rope in there ""Does not work"", puts short stick in hose box and tries to get hose, struggles, then inserts short stick in stick box and gets long stick, inserts long stick in tube, ""nope"", ""It's this one, the big hose"", inserts short stick in hose box, tries to get hose, struggles, gets hose out, inserts in tube and gets sticker after ~4.56 min";success_withsometrialanderror;ID4_AdditionalTask_ToolUse_m_5y_View1, ID4_AdditionalTask_ToolUse_m_5y_View2;Success;With some trial and error;;;;;;;;11
7;m;46;3;no information;46;3;young;yes;Experimenter error (child did not start at side of table);no;yes;no;no;no;;;;;;;;;"Points to short stick ""What's that?"" (several times), stands in front of tube, does nothing, picks up short stick and inserts in tube, inserts several times, ""I can't get it"" (several times), ""I can't reach"", looks into stick box, inserts short stick in tube, pushes the stick in with force, inserts several times ""can't....can't do it"" (several times), ""I don't know"", goes around table, looks into boxes, tries to reach long stick with finger, inserts short stick into stick box, pulls stick closer but doesn't get it out, inserts stick into hose box, tries to get hose, stick gets stuck in hose box, he manages to get it back, ""can't reach that"" [hose], tries to get rope with stick ""can't reach that"", E stops after 10 min";dropout;ID7_AdditionalTask_ToolUse_m_3y_Dropout_View1, ID7_AdditionalTask_ToolUse_m_3y_Dropout_View2;;;;;;;;;;
5;f;45;3;no information;46;3;young;yes;Experimenter error (child did not start at side of table, was not given 10 min);no;;;;;;;;;;;;;Inserts short stick in tube, tries to reach sticker, does that for a long time (more than 3 min), inserts stick into other opening of the tube, after 5 min I reminded her that she could use anything around there on the table, no reaction, gave a second reminder at 8:30;dropout;ID5_AdditionalTask_ToolUse_f_3y_Dropout_View1, ID5_AdditionalTask_ToolUse_f_3y_Dropout_View2;;;;;;;;;;
6;m;40;3;no;40;3;young;no;;no;yes;no;no;no;;yes;short stick;short stick;no;;;;"""This one?"" points to short stick, inserts short stick into tube, ""Yes"" when he got closer to sticker, struggles, inserts stick into both ends of tube, gave reminder at 3:30 that he could try anything, no success after 5 min, another reminder at 6 min and then at 8:30, is motivated, keeps trying to get the sticker with the short stick, after 10 min no success";nosuccess_focusontubeonly_shortstick;ID6_AdditionalTask_ToolUse_m_3y_View1, ID6_AdditionalTask_ToolUse_m_3y_View2;No success;Focus on tube only;Uses short stick;;;;;;;2
2;m;42;3;no information;42;3;young;no;;no;yes;no;no;no;;no;;;no;;;;Puts fingers in tube, first right then left, leaves hand in tube and doesn't move for a while, freezes, inserts fingers, never moves around the table, doesn't pick up any tool, only inserted hand in tube, no success;nosuccess_focusontubeonly_hand;ID2_AdditionalTask_ToolUse_m_3y_View1, ID2_AdditionalTask_ToolUse_m_3y_View2;No success;Focus on tube only;Uses hand;;;;;;;1
14;m;43;3;no information;44;3;young;no;;no;yes;no;no;no;;yes;short stick;short stick;yes, with hand and tool;no;;;Tries to pick up target box, had to be discouraged. Picks up yellow stick and inserts in tube, tries to get sticker. Asks for help. Inserts stick in tube again, tries to squeeze tube with fingers. Tries to get tape off the tube and has to be discouraged. Drums yellow stick on tube and on all tool boxes, inserts yellow stick in tube. Doesn't go round the table for 4.5min. Goes round table, touches cage with long stick, inserts his fingers slightly, then briefly inserts the yellow stick, but does so at the top of the mesh. Goes round again to tube. Goes round the table to box with hose, inserts yellow stick, but at the top, then inserts stick at the bottom, reaches hose and moves it. Goes round the table to tube and looks at it briefly, inserts stick in tube, goes round the table, then back to the tube, inserts stick. In the last minute, tries to reach sticker with stick. Quite persistent at the end, mostly engaged in the task;nosuccess_focusontoolboxes_hoseshortstick;ID14_AdditionalTask_ToolUse_m_3y_View1, ID14_AdditionalTask_ToolUse_m_3y_View2;No success;Attends to tool boxes;Uses short stick;Tries to get hose;;;;;;4
9;f;40;3;no;41;3;young;no;;no;yes;no;no;no;;yes;short stick;short stick;no;;;;"Picked up short stick and inserted into tube, went around the table without the tool, went round the table back to the tube and inserted stick in tube, inserted stick in both sides. When E reminded her that she could use anything on the table, immediately went around table again without the tool. She tried to take the hose out of the box, then went back to the pipe side and tried to take the hose from that side, picking the bottom of the box. Then went back to tube, inserted stick in tube, persisted for a long time. Touched hose box with her fingers. Tried to pick up tube, had to be discouraged. Again insertes stick ""sun....sun...come on..."", no success";nosuccess_focusontoolboxes_hosehand;ID9_AdditionalTask_ToolUse_f_3y_View1, ID9_AdditionalTask_ToolUse_f_3y_View2;No success;Attends to tool boxes;Uses hand;Tries to get hose;;;;;;4
11;f;62;5;no;63;5;old;yes;Experimenter error, table was not standing on a flat surface. She shook the table, maybe that was because we were testing outside?;incorrect;;;;;;;;;;;;;"Inserts short stick in tube ""It's too steep….steep….can't get it….Is it with that? Push it out?"" [shows how to insert stick in tube], tries very hard to get sticker with the short stick, shakes tube with the stick, E discourages her, again shakes tube with stick, ""shaking"", ""I shake it out"", sticker actually moved, she manages to reach the sticker with the stick, pulls the lid and gets it out";dropout;ID11_AdditionalTask_ToolUse_f_5y_View1, ID11_AdditionalTask_ToolUse_f_5y_View2;;;;;;;;;;
