ID;Gender;AgeMonths_midtesting;AgeGroup_midtesting;Mediansplit_midtesting_entiresample;TestingLocation;WMUpdating;WMBoxes;WMGrid;CD_all;Tray;Shelf;GlassCeiling;Cylinder;InhibGrid
1;m;62;5;old;Fife;0.833333333;0.375;0.8789806;0.857;1;1;0;0.916666667;0.333
2;m;42;3;young;Fife;0.666666667;0.5;0.7673841;0.583;0.75;0.36;0.75;0.166666667;0.167
3;m;44;3;young;Fife;0.833333333;0.625;0.7307323;0.625;0.78;0.91;0.916666667;0.75;0.333
4;m;63;5;old;Fife;0.666666667;0.5;0.6232522;0.857;0.88;0.91;0.833333333;1;0.333
5;f;46;3;young;Fife;0.5;0.375;0.6242853;0.846;0.82;0.36;0.833333333;1;0.5
7;m;46;3;young;Fife;0.833333333;0.5;0.7365544;0.615;0.7;0.64;0.833333333;0.833333333;0.167
8;m;58;4;old;Fife;0.666666667;0.75;0.6520365;0.458;0.86;0.45;1;0.833333333;0.5
9;f;41;3;young;Fife;0.833333333;0.375;0.7827794;0.417;0.52;0.36;0.916666667;0.5;0.167
12;f;63;5;old;Fife;1;0.5;0.8218418;0.583;0.78;0.82;0.833333333;0.25;0.833
14;m;44;3;young;Fife;0.833333333;0.5;0.7157023;0.542;0.25;0.64;0.25;0.333333333;0.667
15;f;54;4;old;Edinburgh;0.833333333;0.625;0.7769573;0.625;0.79;0.36;0.833333333;1;0
19;f;39;3;young;Fife;0.666666667;0.5;0.804036;0.458;0.71;0.27;0.75;0.416666667;0.833
20;f;56;4;old;Fife;0.833333333;0.5;0.7809235;0.583;0.67;0.45;0.666666667;0.416666667;0.333
23;f;54;4;old;Fife;0.666666667;0.375;0.7442716;0.417;0.64;0.55;0.916666667;0.666666667;0.667
25;f;51;4;old;Edinburgh;0.5;0.625;0.8979768;0.417;0.62;0.36;0.583333333;0.666666667;0.667
32;f;43;3;young;Fife;0.666666667;0.625;0.7632678;0.375;0.88;0.09;0.75;0.25;0.667
38;m;46;3;young;Edinburgh;1;0.5;0.8286392;0.682;0.64;0.82;0.833333333;0.083333333;0.667
40;f;54;4;old;Edinburgh;0.666666667;0.75;0.8788304;0.417;0.7;0.55;0.916666667;1;0.167
41;m;54;4;old;Edinburgh;0.833333333;0.625;0.953775;0.583;0.77;0.18;0.833333333;0.333333333;0.667
42;f;56;4;old;Edinburgh;0.833333333;0.5;0.7619273;0.5;0.83;0.64;1;1;0.833
44;m;43;3;young;Edinburgh;0.666666667;0.625;0.6830165;0.542;0.67;0.36;0.75;0.666666667;0.833
47;f;54;4;old;Fife;0.666666667;0.5;0.6326752;0.417;0.5;0.55;0.333333333;0.333333333;0.5
48;m;44;3;young;Fife;0.833333333;0.25;0.7020127;0.458;0.75;0.64;0.833333333;0.5;0.667
51;f;43;3;young;Fife;1;0.5;0.7497285;1.000;0.76;0.27;0.583333333;0.416666667;0.667
54;m;52;4;old;Edinburgh;0.833333333;0.75;0.8558681;0.625;0.62;0.45;0.916666667;0.583333333;0.667
55;m;44;3;young;Edinburgh;0.666666667;0.25;0.7769573;0.375;0.82;0.7;0.666666667;0.833333333;0.5
56;m;44;3;young;Edinburgh;0.666666667;0.75;0.7497285;0.458;0.71;0.91;0.916666667;0.916666667;0.833
58;m;51;4;old;Edinburgh;1;0.5;0.8517517;0.9;0.78;0.55;0.833333333;0.75;0.5
59;m;53;4;old;Edinburgh;0.666666667;0.75;0.8558681;0.875;0.73;0.91;0.916666667;1;0.5
60;m;49;4;young;Edinburgh;0.833333333;0.375;0.707985;0.375;0.73;0.64;0.916666667;0.166666667;0.667
62;f;47;3;young;Edinburgh;0.666666667;0.375;0.7307323;0.75;0.56;0.27;0.916666667;0.333333333;0.5
64;m;38;3;young;Edinburgh;0.666666667;0.75;0.7061291;0.458;1;0.64;0.583333333;0.5;0.833
65;m;36;3;young;Edinburgh;1;0.25;0.8000699;0.857;0.77;0.18;0.75;0.333333333;0.5
68;f;50;4;old;Fife;1;0.5;0.7769573;0.375;0.47;0;0.833333333;0.916666667;0.833
69;m;54;4;old;Fife;1;0.5;0.7252755;0.667;0.71;0.36;0;0.416666667;0.333
70;f;52;4;old;Fife;1;0.5;0.610961;0.826;0.73;0.55;0.75;1;0.5
71;f;52;4;old;Fife;0.833333333;0.125;0.7593017;0.375;0.9;0.55;0;0.75;0
72;m;60;5;old;Fife;0.833333333;0.5;0.8844375;0.292;0.75;0.82;0.833333333;0.916666667;0.5
73;m;40;3;young;Edinburgh;0.833333333;0.625;0.66176;0.5;0.83;0.45;0.666666667;0.75;0.833
74;f;38;3;young;Edinburgh;1;0.125;0.5845549;0.5;0.86;0.64;0.916666667;0.416666667;0.167
76;m;52;4;old;Fife;1;0.5;0.726616;0.583;0.88;0.55;0.75;1;0
77;f;42;3;young;Fife;1;0.375;0.7211591;0.333;0.75;0.45;0.75;0.666666667;0.667
79;f;46;3;young;Fife;1;0.625;0.7904967;0.875;0.82;0.82;0.833333333;0.916666667;0.667
80;f;45;3;young;Fife;0.666666667;0.25;0.6800836;0.333;0.86;0.45;0.916666667;0.25;0.667
