ID;Species;WMUpdating;WMBoxes;WMGrid;SD;Reversal;CD_all;EDS;Tray;Shelf;GlassCeiling;Cylinder;InhibGrid
1;Children;0.833333333;0.375;0.8789806;0.86;0.86;0.857;0.94;1;1;0;0.916666667;0.333
2;Children;0.666666667;0.5;0.7673841;0.57;0.29;0.583;;0.75;0.36;0.75;0.166666667;0.167
3;Children;0.833333333;0.625;0.7307323;0.78;0.75;0.625;;0.78;0.91;0.916666667;0.75;0.333
4;Children;0.666666667;0.5;0.6232522;0.54;;0.857;;0.88;0.91;0.833333333;1;0.333
5;Children;0.5;0.375;0.6242853;0.9;1;0.846;0.92;0.82;0.36;0.833333333;1;0.5
6;Children;0.5;;;;;;;0.67;0.91;;;0
7;Children;0.833333333;0.5;0.7365544;0.78;0.73;0.615;0.83;0.7;0.64;0.833333333;0.833333333;0.167
8;Children;0.666666667;0.75;0.6520365;0.78;0.86;0.458;;0.86;0.45;1;0.833333333;0.5
9;Children;0.833333333;0.375;0.7827794;0.78;0.6;0.417;;0.52;0.36;0.916666667;0.5;0.167
10;Children;0.666666667;0.375;;0.74;;;;0.73;;0.416666667;0.916666667;0.5
11;Children;1;0.625;0.8613249;0.8;0.86;0.542;;0.79;0.55;0.666666667;0.916666667;
12;Children;1;0.5;0.8218418;0.69;0.75;0.583;;0.78;0.82;0.833333333;0.25;0.833
13;Children;;0.375;0.670968;0.88;0.64;0.458;;0.71;;0.916666667;0.416666667;0
14;Children;0.833333333;0.5;0.7157023;0.54;;0.542;;0.25;0.64;0.25;0.333333333;0.667
15;Children;0.833333333;0.625;0.7769573;0.86;0.86;0.625;;0.79;0.36;0.833333333;1;0
17;Children;0.666666667;0.25;0.5547976;0.33;;0.458;;0.73;;0.833333333;0.333333333;
18;Children;0.666666667;0.75;0.8382124;0.5;;0.5;;0.73;0.64;;0.5;
19;Children;0.666666667;0.5;0.804036;0.7;0.86;0.458;;0.71;0.27;0.75;0.416666667;0.833
20;Children;0.833333333;0.5;0.7809235;0.7;0.37;0.583;;0.67;0.45;0.666666667;0.416666667;0.333
21;Children;1;0.375;0.8517517;0.88;;;;0.86;1;0.916666667;1;
22;Children;0.666666667;0.625;;0.67;;0.579;;0.75;;0.75;0.5;0.333
23;Children;0.666666667;0.375;0.7442716;0.78;0.71;0.417;;0.64;0.55;0.916666667;0.666666667;0.667
24;Children;0.833333333;0.625;0.6977392;0.61;0.75;;;0.63;0.73;0.916666667;0.25;0.333
25;Children;0.5;0.625;0.8979768;0.42;;0.417;;0.62;0.36;0.583333333;0.666666667;0.667
26;Children;0.666666667;0.625;0.6640204;0.54;;0.375;;0.75;;0.833333333;0.25;0.5
27;Children;0.833333333;0.625;0.7715005;0.86;0.82;0.542;;0.64;;0.75;0.75;0.333
28;Children;1;0.5;0.7715005;0.9;0.76;0.417;;0.83;;0.916666667;0.416666667;0.667
29;Children;0.666666667;0.25;0.7076198;0.5;;0.417;;0.67;;0.666666667;0.25;0.833
30;Children;0.666666667;0.625;0.8558681;0.67;0.86;0.375;;0.88;;0.833333333;0.333333333;0.333
31;Children;0.666666667;0.25;0.7211591;0.88;0.73;0.583;;;0.36;0.166666667;0.416666667;
32;Children;0.666666667;0.625;0.7632678;0.64;0.75;0.375;;0.88;0.09;0.75;0.25;0.667
33;Children;0.666666667;0.25;;;;;;0.65;;0.75;0.5;0.167
34;Children;0.833333333;0.25;0.6051582;;;0.444;;0.56;;0.5;0.416666667;0.333
35;Children;0.666666667;0.375;0.7538448;0.55;;;;0.86;;0.833333333;0.333333333;0.5
36;Children;0.666666667;0.625;0.6572785;0.64;0.75;0.5;;0.8;;0.583333333;0.5;0.667
37;Children;0.5;0.375;0.7102454;0.5;;0.333;;1;;0.833333333;0.166666667;0.333
38;Children;1;0.5;0.8286392;0.46;;0.682;;0.64;0.82;0.833333333;0.083333333;0.667
39;Children;0.666666667;0.25;;;;;;0.62;;;;0.5
40;Children;0.666666667;0.75;0.8788304;0.73;0.86;0.417;;0.7;0.55;0.916666667;1;0.167
41;Children;0.833333333;0.625;0.953775;0.8;0.77;0.583;;0.77;0.18;0.833333333;0.333333333;0.667
42;Children;0.833333333;0.5;0.7619273;0.75;1;0.5;;0.83;0.64;1;1;0.833
43;Children;1;0.25;0.7919874;0.58;;0.545;;0.8;;0.833333333;0.833333333;0.833
44;Children;0.666666667;0.625;0.6830165;0.87;0.73;0.542;;0.67;0.36;0.75;0.666666667;0.833
45;Children;0.833333333;0.375;0.7769573;0.82;0.76;0.684;0.94;0.67;0.55;0.916666667;1;
46;Children;0.833333333;0.625;0.8421785;0.54;;0.5;;1;0.2;;0.666666667;0.667
47;Children;0.666666667;0.5;0.6326752;0.6;0.7;0.417;;0.5;0.55;0.333333333;0.333333333;0.5
48;Children;0.833333333;0.25;0.7020127;0.88;0.75;0.458;;0.75;0.64;0.833333333;0.5;0.667
49;Children;0.833333333;;;;;;;;;;;0.333
50;Children;0.666666667;;;;;;;;0.18;;;0.667
51;Children;1;0.5;0.7497285;0.82;;1.000;0.83;0.76;0.27;0.583333333;0.416666667;0.667
52;Children;0.666666667;0.5;0.6504811;0.83;0.75;0.652;;0.71;;0.833333333;0.5;0.167
53;Children;0.666666667;0.5;0.8735237;0.78;0.69;0.333;;0.86;1;;0.916666667;0
54;Children;0.833333333;0.75;0.8558681;0.85;0.86;0.625;0.91;0.62;0.45;0.916666667;0.583333333;0.667
55;Children;0.666666667;0.25;0.7769573;0.63;;0.375;;0.82;0.7;0.666666667;0.833333333;0.5
56;Children;0.666666667;0.75;0.7497285;0.8;0.8;0.458;;0.71;0.91;0.916666667;0.916666667;0.833
58;Children;1;0.5;0.8517517;0.69;0.86;0.9;0.58;0.78;0.55;0.833333333;0.75;0.5
59;Children;0.666666667;0.75;0.8558681;0.78;0.78;0.875;0.94;0.73;0.91;0.916666667;1;0.5
60;Children;0.833333333;0.375;0.707985;0.54;;0.375;;0.73;0.64;0.916666667;0.166666667;0.667
62;Children;0.666666667;0.375;0.7307323;0.78;0.76;0.75;0.67;0.56;0.27;0.916666667;0.333333333;0.5
64;Children;0.666666667;0.75;0.7061291;0.58;;0.458;;1;0.64;0.583333333;0.5;0.833
65;Children;1;0.25;0.8000699;0.46;;0.857;;0.77;0.18;0.75;0.333333333;0.5
