ID;Gender;AgeMonths_midtesting;AgeGroup_midtesting;Mediansplit_midtesting_entiresample;WMUpdating;WMBoxes;WMGrid;SD;Reversal;CD_all;EDS;Tray;Shelf;GlassCeiling;Cylinder;InhibGrid;BRIEF_P_Inhibit;BRIEF_P_Shift;BRIEF_P_WM
1;m;62;5;old;0.833333333;0.375;0.8789806;0.86;0.86;0.857;0.94;1;1;0;0.916666667;0.333;64;52;66
2;m;42;3;young;0.666666667;0.5;0.7673841;0.57;0.29;0.583;;0.75;0.36;0.75;0.166666667;0.167;;;
3;m;44;3;young;0.833333333;0.625;0.7307323;0.78;0.75;0.625;;0.78;0.91;0.916666667;0.75;0.333;;;
4;m;63;5;old;0.666666667;0.5;0.6232522;0.54;;0.857;;0.88;0.91;0.833333333;1;0.333;45;40;40
5;f;46;3;young;0.5;0.375;0.6242853;0.9;1;0.846;0.92;0.82;0.36;0.833333333;1;0.5;37;37;38
6;m;40;3;young;0.5;;;;;;;0.67;0.91;;;0;53;40;52
7;m;46;3;young;0.833333333;0.5;0.7365544;0.78;0.73;0.615;0.83;0.7;0.64;0.833333333;0.833333333;0.167;64;48;62
8;m;58;4;old;0.666666667;0.75;0.6520365;0.78;0.86;0.458;;0.86;0.45;1;0.833333333;0.5;53;47;48
9;f;41;3;young;0.833333333;0.375;0.7827794;0.78;0.6;0.417;;0.52;0.36;0.916666667;0.5;0.167;49;62;55
10;m;44;3;young;0.666666667;0.375;;0.74;;;;0.73;;0.416666667;0.916666667;0.5;45;42;46
11;f;63;5;old;1;0.625;0.8613249;0.8;0.86;0.542;;0.79;0.55;0.666666667;0.916666667;;43;51;44
12;f;63;5;old;1;0.5;0.8218418;0.69;0.75;0.583;;0.78;0.82;0.833333333;0.25;0.833;46;49;48
13;f;42;3;young;;0.375;0.670968;0.88;0.64;0.458;;0.71;;0.916666667;0.416666667;0;53;62;61
14;m;44;3;young;0.833333333;0.5;0.7157023;0.54;;0.542;;0.25;0.64;0.25;0.333333333;0.667;;;
15;f;54;4;old;0.833333333;0.625;0.7769573;0.86;0.86;0.625;;0.79;0.36;0.833333333;1;0;39;43;44
17;f;40;3;young;0.666666667;0.25;0.5547976;0.33;;0.458;;0.73;;0.833333333;0.333333333;;;;
18;f;44;3;young;0.666666667;0.75;0.8382124;0.5;;0.5;;0.73;0.64;;0.5;;45;37;57
19;f;39;3;young;0.666666667;0.5;0.804036;0.7;0.86;0.458;;0.71;0.27;0.75;0.416666667;0.833;79;86;79
20;f;56;4;old;0.833333333;0.5;0.7809235;0.7;0.37;0.583;;0.67;0.45;0.666666667;0.416666667;0.333;48;54;44
21;f;43;3;young;1;0.375;0.8517517;0.88;;;;0.86;1;0.916666667;1;;60;43;45
22;f;57;4;old;0.666666667;0.625;;0.67;;0.579;;0.75;;0.75;0.5;0.333;44;41;48
23;f;54;4;old;0.666666667;0.375;0.7442716;0.78;0.71;0.417;;0.64;0.55;0.916666667;0.666666667;0.667;55;54;52
24;f;56;4;old;0.833333333;0.625;0.6977392;0.61;0.75;;;0.63;0.73;0.916666667;0.25;0.333;;;
25;f;51;4;old;0.5;0.625;0.8979768;0.42;;0.417;;0.62;0.36;0.583333333;0.666666667;0.667;41;38;38
26;m;52;4;old;0.666666667;0.625;0.6640204;0.54;;0.375;;0.75;;0.833333333;0.25;0.5;;;
27;f;55;4;old;0.833333333;0.625;0.7715005;0.86;0.82;0.542;;0.64;;0.75;0.75;0.333;;;
28;m;49;4;young;1;0.5;0.7715005;0.9;0.76;0.417;;0.83;;0.916666667;0.416666667;0.667;57;45;50
29;f;50;4;old;0.666666667;0.25;0.7076198;0.5;;0.417;;0.67;;0.666666667;0.25;0.833;51;38;38
30;m;52;4;old;0.666666667;0.625;0.8558681;0.67;0.86;0.375;;0.88;;0.833333333;0.333333333;0.333;41;49;40
31;f;44;3;young;0.666666667;0.25;0.7211591;0.88;0.73;0.583;;;0.36;0.166666667;0.416666667;;60;46;57
32;f;43;3;young;0.666666667;0.625;0.7632678;0.64;0.75;0.375;;0.88;0.09;0.75;0.25;0.667;41;49;43
33;f;47;3;young;0.666666667;0.25;;;;;;0.65;;0.75;0.5;0.167;70;80;72
34;f;46;3;young;0.833333333;0.25;0.6051582;;;0.444;;0.56;;0.5;0.416666667;0.333;85;40;93
35;m;38;3;young;0.666666667;0.375;0.7538448;0.55;;;;0.86;;0.833333333;0.333333333;0.5;55;45;56
36;m;41;3;young;0.666666667;0.625;0.6572785;0.64;0.75;0.5;;0.8;;0.583333333;0.5;0.667;46;40;68
37;f;40;3;young;0.5;0.375;0.7102454;0.5;;0.333;;1;;0.833333333;0.166666667;0.333;41;37;38
38;m;46;3;young;1;0.5;0.8286392;0.46;;0.682;;0.64;0.82;0.833333333;0.083333333;0.667;48;38;36
39;m;46;3;young;0.666666667;0.25;;;;;;0.62;;;;0.5;;;
40;f;54;4;old;0.666666667;0.75;0.8788304;0.73;0.86;0.417;;0.7;0.55;0.916666667;1;0.167;48;46;50
41;m;54;4;old;0.833333333;0.625;0.953775;0.8;0.77;0.583;;0.77;0.18;0.833333333;0.333333333;0.667;52;57;56
42;f;56;4;old;0.833333333;0.5;0.7619273;0.75;1;0.5;;0.83;0.64;1;1;0.833;63;46;71
43;m;40;3;young;1;0.25;0.7919874;0.58;;0.545;;0.8;;0.833333333;0.833333333;0.833;52;38;62
44;m;43;3;young;0.666666667;0.625;0.6830165;0.87;0.73;0.542;;0.67;0.36;0.75;0.666666667;0.833;;;
45;f;51;4;old;0.833333333;0.375;0.7769573;0.82;0.76;0.684;0.94;0.67;0.55;0.916666667;1;;;;
46;f;50;4;old;0.833333333;0.625;0.8421785;0.54;;0.5;;1;0.2;;0.666666667;0.667;53;43;44
47;f;54;4;old;0.666666667;0.5;0.6326752;0.6;0.7;0.417;;0.5;0.55;0.333333333;0.333333333;0.5;65;41;60
48;m;44;3;young;0.833333333;0.25;0.7020127;0.88;0.75;0.458;;0.75;0.64;0.833333333;0.5;0.667;57;43;46
49;m;38;3;young;0.833333333;;;;;;;;;;;0.333;;;
50;f;45;3;young;0.666666667;;;;;;;;0.18;;;0.667;;;
51;f;43;3;young;1;0.5;0.7497285;0.82;;1.000;0.83;0.76;0.27;0.583333333;0.416666667;0.667;79;40;62
52;f;43;3;young;0.666666667;0.5;0.6504811;0.83;0.75;0.652;;0.71;;0.833333333;0.5;0.167;47;52;49
53;f;44;3;young;0.666666667;0.5;0.8735237;0.78;0.69;0.333;;0.86;1;;0.916666667;0;47;55;38
54;m;52;4;old;0.833333333;0.75;0.8558681;0.85;0.86;0.625;0.91;0.62;0.45;0.916666667;0.583333333;0.667;38;45;38
55;m;44;3;young;0.666666667;0.25;0.7769573;0.63;;0.375;;0.82;0.7;0.666666667;0.833333333;0.5;;;
56;m;44;3;young;0.666666667;0.75;0.7497285;0.8;0.8;0.458;;0.71;0.91;0.916666667;0.916666667;0.833;57;38;46
58;m;51;4;old;1;0.5;0.8517517;0.69;0.86;0.9;0.58;0.78;0.55;0.833333333;0.75;0.5;36;40;38
59;m;53;4;old;0.666666667;0.75;0.8558681;0.78;0.78;0.875;0.94;0.73;0.91;0.916666667;1;0.5;50;49;56
60;m;49;4;young;0.833333333;0.375;0.707985;0.54;;0.375;;0.73;0.64;0.916666667;0.166666667;0.667;43;54;40
62;f;47;3;young;0.666666667;0.375;0.7307323;0.78;0.76;0.75;0.67;0.56;0.27;0.916666667;0.333333333;0.5;;;
64;m;38;3;young;0.666666667;0.75;0.7061291;0.58;;0.458;;1;0.64;0.583333333;0.5;0.833;37;48;40
65;m;36;3;young;1;0.25;0.8000699;0.46;;0.857;;0.77;0.18;0.75;0.333333333;0.5;;;
66;m;56;4;old;0.666666667;0.5;0.8150999;0.75;0.65;0.5;;0.7;0.36;0.333333333;;0.833;43;49;40
67;m;49;4;young;0.5;0.75;0.7117362;0.88;;0.474;;0.88;0.36;;0.416666667;0.833;36;38;36
68;f;50;4;old;1;0.5;0.7769573;0.73;0.86;0.375;;0.47;0;0.833333333;0.916666667;0.833;37;38;38
69;m;54;4;old;1;0.5;0.7252755;0.73;0.77;0.667;;0.71;0.36;0;0.416666667;0.333;40;57;42
70;f;52;4;old;1;0.5;0.610961;0.71;0.82;0.826;0.92;0.73;0.55;0.75;1;0.5;43;41;38
71;f;52;4;old;0.833333333;0.125;0.7593017;0.7;0.75;0.375;;0.9;0.55;0;0.75;0;41;54;42
72;m;60;5;old;0.833333333;0.5;0.8844375;0.88;0.8;0.292;;0.75;0.82;0.833333333;0.916666667;0.5;48;40;44
73;m;40;3;young;0.833333333;0.625;0.66176;0.73;0.54;0.5;;0.83;0.45;0.666666667;0.75;0.833;34;38;38
74;f;38;3;young;1;0.125;0.5845549;0.86;0.75;0.5;;0.86;0.64;0.916666667;0.416666667;0.167;;;
75;f;40;3;young;0.666666667;0.25;0.8735237;0.46;;0.417;;0.8;0.36;0.916666667;;0.667;;;
76;m;52;4;old;1;0.5;0.726616;0.82;0.67;0.583;;0.88;0.55;0.75;1;0;43;40;50
77;f;42;3;young;1;0.375;0.7211591;0.75;0.7;0.333;;0.75;0.45;0.75;0.666666667;0.667;;;
78;m;43;3;young;1;0.5;;0.71;0.86;0.292;;0.67;0.82;;0.916666667;0.5;55;52;50
79;f;46;3;young;1;0.625;0.7904967;0.71;0.58;0.875;0.83;0.82;0.82;0.833333333;0.916666667;0.667;64;43;53
80;f;45;3;young;0.666666667;0.25;0.6800836;0.77;0.53;0.333;;0.86;0.45;0.916666667;0.25;0.667;;;
81;m;44;3;young;0.666666667;0.25;;0.57;;0.636;;0.67;0.27;;0.833333333;1.000;;;
82;f;42;3;young;0.666666667;0.5;;0.78;0.67;;;0.86;0.45;;1;0.5;81;65;83
83;f;52;4;old;0.666666667;0.25;;0.77;0.5;;;0.73;0.45;;0.833333333;0.167;;;
