ID;GlassCeiling;Cylinder;InhibGrid
1;0;0.916666667;0.333
2;0.75;0.166666667;0.167
3;0.916666667;0.75;0.333
4;0.833333333;1;0.333
5;0.833333333;1;0.5
6;;;0
7;0.833333333;0.833333333;0.167
8;1;0.833333333;0.5
9;0.916666667;0.5;0.167
10;0.416666667;0.916666667;0.5
11;0.666666667;0.916666667;
12;0.833333333;0.25;0.833
13;0.916666667;0.416666667;0
14;0.25;0.333333333;0.667
15;0.833333333;1;0
17;0.833333333;0.333333333;
18;;0.5;
19;0.75;0.416666667;0.833
20;0.666666667;0.416666667;0.333
21;0.916666667;1;
22;0.75;0.5;0.333
23;0.916666667;0.666666667;0.667
24;0.916666667;0.25;0.333
25;0.583333333;0.666666667;0.667
26;0.833333333;0.25;0.5
27;0.75;0.75;0.333
28;0.916666667;0.416666667;0.667
29;0.666666667;0.25;0.833
30;0.833333333;0.333333333;0.333
31;0.166666667;0.416666667;
32;0.75;0.25;0.667
33;0.75;0.5;0.167
34;0.5;0.416666667;0.333
35;0.833333333;0.333333333;0.5
36;0.583333333;0.5;0.667
37;0.833333333;0.166666667;0.333
38;0.833333333;0.083333333;0.667
39;;;0.5
40;0.916666667;1;0.167
41;0.833333333;0.333333333;0.667
42;1;1;0.833
43;0.833333333;0.833333333;0.833
44;0.75;0.666666667;0.833
45;0.916666667;1;
46;;0.666666667;0.667
47;0.333333333;0.333333333;0.5
48;0.833333333;0.5;0.667
49;;;0.333
50;;;0.667
51;0.583333333;0.416666667;0.667
52;0.833333333;0.5;0.167
53;;0.916666667;0
54;0.916666667;0.583333333;0.667
55;0.666666667;0.833333333;0.5
56;0.916666667;0.916666667;0.833
58;0.833333333;0.75;0.5
59;0.916666667;1;0.5
60;0.916666667;0.166666667;0.667
62;0.916666667;0.333333333;0.5
64;0.583333333;0.5;0.833
65;0.75;0.333333333;0.5
66;0.333333333;;0.833
67;;0.416666667;0.833
68;0.833333333;0.916666667;0.833
69;0;0.416666667;0.333
70;0.75;1;0.5
71;0;0.75;0
72;0.833333333;0.916666667;0.5
73;0.666666667;0.75;0.833
74;0.916666667;0.416666667;0.167
75;0.916666667;;0.667
76;0.75;1;0
77;0.75;0.666666667;0.667
78;;0.916666667;0.5
79;0.833333333;0.916666667;0.667
80;0.916666667;0.25;0.667
81;;0.833333333;1.000
82;;1;0.5
83;;0.833333333;0.167
84;;0.333333333;0.333
85;;;0.333
86;;0.833333333;0.667
87;0.916666667;1;0.833
88;;0.25;0.5
89;0.666666667;0.833333333;0.5
91;0;0.333333333;0.5
92;0.833333333;0.416666667;0.333
93;;0.75;0.833
94;0.916666667;0.333333333;0.333
95;0.916666667;0.583333333;0
96;0.833333333;0.833333333;0.833
97;0;0.416666667;0.167
98;0.916666667;0.75;0.333
99;0;0.75;
100;0.916666667;0.416666667;0.667
101;0.833333333;0.25;0.833
102;0.833333333;1;0.833
103;0.833333333;1;0.5
104;0.833333333;0.916666667;0.5
105;0.75;0.916666667;1.000
106;0.5;0.666666667;0.667
107;0.5;0.333333333;0.667
108;0.916666667;0.916666667;0.667
109;0.5;0.5;0.333
110;0.5;0.583333333;0.167
111;0.75;0.916666667;0.5
112;0.5;0.25;0.833
113;0.833333333;0.909090909;0.667
114;0.833333333;0.916666667;0.667
115;0.666666667;0.916666667;1.000
116;0.833333333;0.833333333;0.667
117;;1;0.833
118;0.833333333;0.916666667;0.5
119;0.833333333;1;0.5
120;0.916666667;1;0.667
121;0.916666667;0.833333333;0.667
122;0.75;0.833333333;0.5
123;;0.916666667;1.000
124;0.75;0.416666667;0.5
125;0.916666667;0.25;0.333
126;;0.333333333;0.667
127;0.833333333;0.333333333;0.167
128;;;0.333
129;;0.5;0.167
130;0;0.666666667;0.5
131;;0.5;0.833
132;;1;0.5
133;0.916666667;1;0.667
134;;;0.667
135;;;0.833
136;;0.833333333;0.5
137;;;0.833
138;;;0.833
139;;;
140;;;0.5
141;;;
143;;;0.667
144;0.833333333;0.5;0
145;0.916666667;1;0.167
146;0.75;0.916666667;0.333
147;0.916666667;0.166666667;0.833
148;0.916666667;0.25;0.5
149;0.833333333;0.25;0.5
150;0.916666667;1;1.000
151;0.916666667;1;0.833
152;0.916666667;0.333333333;0.5
153;0.833333333;1;0
154;0.5;0.916666667;0.667
155;0.833333333;0.416666667;0.5
156;0.583333333;0.833333333;1.000
157;0.833333333;0.416666667;0.5
158;0.916666667;0.833333333;1.000
159;0.5;0.916666667;0.333
160;1;0.916666667;1.000
161;0.916666667;0.916666667;0.5
162;0.75;0.25;0.667
163;;0.916666667;1.000
164;0.916666667;0.833333333;0.667
165;0.833333333;0.916666667;0.167
166;0.666666667;0.083333333;0.167
167;;;0.833
168;;;
169;;;0.333
170;;;0.167
171;;;
172;;;
173;;;
174;;;
175;;;
176;;;
177;;;
181;;;
182;;;
184;;;
189;;;
190;;;
191;;;
192;;;0.333
193;;;
194;;;0
195;;;
196;;;
197;;;0.667
198;;;0.667
199;;;0.333
