ID;Sex;Age_months;Midtesting_age_months;Age_group;Midtesting_age_group;Mediansplit_midtesting_entiresample;AdditionalSupportNeeds;Experimenter;TestingLocation;CleanData;Dropout?;Reason_Dropout;Issue;BPVS_Score;CleanData_for_First6UniqueSearches_notcountingredundantsearches;CleanData_for_First6UniqueSearches_punishingredundantsearchestotransparentdoors;CleanData_for_First2Min;Comments;ReceivedHelpFromE;FinishedTask;Trial;DoesEMoveBoxTowardsChild_atBeginningOfTrial;IfMove_DoesVideoShowTheEntireMove;DoorWobble;IfWobble_DoesChildSee;Comment_on_WobblingDoor;SearchNr;PositionOfBoxTouched;TypeOfBox;TriedTransparentBox;SixUniqueSearches_PunishingRepeatedVisitsToTransparentDoors;TouchedThisBoxBefore_NotCountingRepeatedVisits;Got_toy;Trial_comments;NoRedundantSearchesPunished_2Phases_HowManyTrials;NoRedundantSearchesPunished_2Phases_HowmanyTransparentBoxesTouched;NoRedundantSearchesPunished_2Phases_ProportionTransparentBoxesTouched;RedundantSearchesToTransparentDoorsPunished_2Phases_HowManyTrials;RedundantSearchesToTransparentDoorsPunished_2Phases_HowmanyTransparentBoxesTouched;RedundantSearchesToTransparentDoorsPunished_2Phases_ProportionTransparentBoxesTouched;Latency_ToGet6UniqueSearches_noredundantsearchescounted;NrCorrectChoicesWithinFirst6Unique_WhileCountingRepeatedVisitsToTransparentDoors;NrCorrectChoicesWithinFirst6UniqueChoices_not countingredundantsearchestotransparentboxes;NrErrorsWithinFirst6UniqueChoices;ProportionCorrectOutOfFirstSixUniqueSearches;ProportionCorrect_PunishingForRepeatedVisitsToTransparentDoors;FirstBoxTouched;DurationFromFirstTouchUntilAllToysRetrievedinSec;FoundAllToys;NrSearchesUntilAllToysFound;NrOfTimesATransparentDoorWasTouched_repeatsarecounted;NrOfTransparentBoxesTouchedAfterFirstAnimal_repeatsarecounted;Latency_tofirstrewardinSec_from_first_touch_of_a_door;Latency_to_first_opaque_door_touched_in_sec;Video;First2Min_BoxNr;First2Min_PosBox;First2Min_TypeBox;First2Min_TouchedBefore;First2Min_GotToy;First2Min_NrUniqueSearches;First2Min_NrCorrectTrialsWithinFirst6Searches;First2Min_PropCorrect;AfterFirstAnimalWasFound_HowManyTransparentDoorsAreTouched_WithinTheNext6Searches;AfterFirstAnimalWasFound_HowManyTransparentDoorsAreTouched_WithinTheNext6Searches_redundantsearchesofopaquedoorsareignored
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;1;no;;no;;;1;6;transparent;1;no;no;;;11;4;0.363636364;11;6;0.545454545;222;0;2;4;0.333;0;transparent;254;yes;18;10;0;230;80;ID1_Inhibition_Grid_m_5y;1;6;transparent;no;;5;1;0.2;0;0
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;1;no;;no;;;2;6;transparent;1;no;yes;;;11;4;0.363636364;11;6;0.545454545;222;0;2;4;0.333;0;transparent;254;yes;18;10;0;230;80;ID1_Inhibition_Grid_m_5y;2;6;transparent;yes;;5;1;0.2;0;0
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;1;no;;no;;;3;3;transparent;1;no;no;;;11;4;0.363636364;11;6;0.545454545;222;0;2;4;0.333;0;transparent;254;yes;18;10;0;230;80;ID1_Inhibition_Grid_m_5y;3;3;transparent;no;;5;1;0.2;0;0
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;1;no;;no;;;4;1;transparent;1;no;no;;;11;4;0.363636364;11;6;0.545454545;222;0;2;4;0.333;0;transparent;254;yes;18;10;0;230;80;ID1_Inhibition_Grid_m_5y;4;1;transparent;no;;5;1;0.2;0;0
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;1;no;;no;;;5;6;transparent;1;no;yes;;;11;4;0.363636364;11;6;0.545454545;222;0;2;4;0.333;0;transparent;254;yes;18;10;0;230;80;ID1_Inhibition_Grid_m_5y;5;6;transparent;yes;;5;1;0.2;0;0
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;1;no;;no;;;6;6;transparent;1;no;yes;;;11;4;0.363636364;11;6;0.545454545;222;0;2;4;0.333;0;transparent;254;yes;18;10;0;230;80;ID1_Inhibition_Grid_m_5y;6;6;transparent;yes;;5;1;0.2;0;0
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;1;no;;no;;;7;6;transparent;1;;yes;;;11;4;0.363636364;11;6;0.545454545;222;0;2;4;0.333;0;transparent;254;yes;18;10;0;230;80;ID1_Inhibition_Grid_m_5y;7;6;transparent;yes;;5;1;0.2;0;0
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;1;no;;no;;;8;7;opaque;0;;no;no, doesn't open door;;11;4;0.363636364;11;6;0.545454545;222;0;2;4;0.333;0;transparent;254;yes;18;10;0;230;80;ID1_Inhibition_Grid_m_5y;8;7;opaque;no;no, doesn't open door;5;1;0.2;0;0
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;1;no;;no;;;9;8;transparent;1;;no;;;11;4;0.363636364;11;6;0.545454545;222;0;2;4;0.333;0;transparent;254;yes;18;10;0;230;80;ID1_Inhibition_Grid_m_5y;9;8;transparent;no;;5;1;0.2;0;0
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;1;no;;no;;;10;6;transparent;1;;yes;;;11;4;0.363636364;11;6;0.545454545;222;0;2;4;0.333;0;transparent;254;yes;18;10;0;230;80;ID1_Inhibition_Grid_m_5y;;;;;;;;;0;0
