Trial;Mean_CumulativeProportionCorrect;SD_CumulativeProportionCorrect
1;0.34;0.48
2;0.51;0.26
3;0.62;0.2
4;0.57;0.18
5;0.61;0.14
6;0.64;0.14
7;0.68;0.13
8;0.68;0.14
9;0.69;0.14
10;0.71;0.14
11;0.72;0.14
12;0.73;0.14
13;0.75;0.14
14;0.75;0.14
15;0.76;0.13
16;0.78;0.13
17;0.77;0.14
18;0.78;0.14
19;0.78;0.14
20;0.79;0.14
21;0.79;0.15
22;0.8;0.14
23;0.8;0.14
24;0.8;0.14
25;0.8;0.14
26;0.8;0.14
27;0.81;0.14
28;0.81;0.14
29;0.81;0.14
30;0.81;0.13
31;0.82;0.13
32;0.82;0.13
33;0.82;0.13
34;0.83;0.13
35;0.84;0.12
36;0.83;0.13
