Trial;Mean_CumulativeProportionCorrect;SD_CumulativeProportionCorrect
1;0.4;0.5
2;0.56;0.26
3;0.67;0.19
4;0.62;0.16
5;0.65;0.13
6;0.68;0.13
7;0.71;0.12
8;0.72;0.12
9;0.73;0.13
10;0.75;0.12
11;0.76;0.13
12;0.77;0.13
13;0.78;0.13
14;0.79;0.13
15;0.8;0.12
16;0.81;0.12
17;0.81;0.12
18;0.81;0.12
19;0.82;0.12
20;0.82;0.13
21;0.82;0.13
22;0.83;0.13
23;0.83;0.12
24;0.83;0.13
25;0.83;0.13
26;0.83;0.13
27;0.84;0.13
28;0.84;0.13
29;0.84;0.12
30;0.84;0.12
31;0.85;0.12
32;0.85;0.11
33;0.86;0.11
34;0.86;0.11
35;0.86;0.11
36;0.86;0.11
