ID;Phase;Proportion_Correct
1;Simple Discrimination;0.857
1;Reversal;0.857
1;Compound Discrimination;0.857
1;EDS;0.944
2;Simple Discrimination;0.571
2;Reversal;0.286
2;Compound Discrimination;0.583
3;Simple Discrimination;0.778
3;Reversal;0.750
3;Compound Discrimination;0.625
4;Simple Discrimination;0.542
4;Compound Discrimination;0.857
4;EDS;0.833
5;Simple Discrimination;0.900
5;Reversal;1.000
5;Compound Discrimination;0.846
5;EDS;0.917
7;Simple Discrimination;0.778
7;Reversal;0.727
7;Compound Discrimination;0.615
7;EDS;0.833
8;Simple Discrimination;0.778
8;Reversal;0.857
8;Compound Discrimination;0.458
9;Simple Discrimination;0.778
9;Reversal;0.600
9;Compound Discrimination;0.417
10;Simple Discrimination;0.737
10;Reversal;
10;Compound Discrimination;
11;Simple Discrimination;0.800
11;Reversal;0.857
11;Compound Discrimination;0.542
12;Simple Discrimination;0.688
12;Reversal;0.750
12;Compound Discrimination;0.583
13;Simple Discrimination;0.875
13;Reversal;0.643
13;Compound Discrimination;0.458
14;Simple Discrimination;0.542
14;Compound Discrimination;0.542
15;Simple Discrimination;0.857
15;Reversal;0.857
15;Compound Discrimination;0.625
17;Simple Discrimination;0.333
17;Compound Discrimination;0.458
18;Simple Discrimination;0.500
18;Compound Discrimination;0.500
19;Simple Discrimination;0.700
19;Reversal;0.857
19;Compound Discrimination;0.458
20;Simple Discrimination;0.696
20;Reversal;0.375
20;Compound Discrimination;0.583
21;Simple Discrimination;0.875
21;Reversal;0.000
21;Compound Discrimination;1.000
22;Simple Discrimination;0.667
22;Compound Discrimination;0.579
23;Simple Discrimination;0.778
23;Reversal;0.708
23;Compound Discrimination;0.417
24;Simple Discrimination;0.611
24;Reversal;0.750
24;Compound Discrimination;0.583
25;Simple Discrimination;0.417
25;Compound Discrimination;0.417
26;Simple Discrimination;0.542
26;Compound Discrimination;0.375
27;Simple Discrimination;0.857
27;Reversal;0.818
27;Compound Discrimination;0.542
28;Simple Discrimination;0.900
28;Reversal;0.765
28;Compound Discrimination;0.417
29;Simple Discrimination;0.500
29;Compound Discrimination;0.417
30;Simple Discrimination;0.667
30;Reversal;0.857
30;Compound Discrimination;0.375
31;Simple Discrimination;0.875
31;Reversal;0.733
31;Compound Discrimination;0.583
32;Simple Discrimination;0.636
32;Reversal;0.750
32;Compound Discrimination;0.375
33;Simple Discrimination;0.667
33;Compound Discrimination;0.714
34;Simple Discrimination;0.429
34;Compound Discrimination;0.444
35;Simple Discrimination;0.550
35;Reversal;0.000
35;Compound Discrimination;0.444
36;Simple Discrimination;0.636
36;Reversal;0.750
36;Compound Discrimination;0.500
37;Simple Discrimination;0.500
37;Compound Discrimination;0.333
38;Simple Discrimination;0.458
38;Compound Discrimination;0.682
38;EDS;0.667
40;Simple Discrimination;0.733
40;Reversal;0.857
40;Compound Discrimination;0.417
41;Simple Discrimination;0.800
41;Reversal;0.769
