ID;Gender;Age_Months;Age_group;AdditionalSupportNeeds;AgeMonths_midtesting;AgeGroup_midtesting;Mediansplit_midtesting_entiresample;TestingLocation;Day;Phase;Dropout;Reason_Dropout;Trial_nr;Baited_Side;Baited_Box;Chosen_Side;success;CumulativeSumStickers;CumulativeProportionCorrect;Location_Sticker_Changed;Material_change;StoppedEarly;TotalNrTrials;Criterion.reached;Number_errors;Nr_CorrectTrials;Proportion_Correct;NrTrials_UntilCriterionreached;NrErrors_UntilCriterionreached;Video;Comments;Additional comments;SD_Criterionreached
1;m;61;5;no;62;5;old;Fife;1;Simple Discrimination;no;;1;left;;right;0;0;0;;;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day1;;;yes
1;m;61;5;no;62;5;old;Fife;1;Simple Discrimination;no;;2;right;;right;1;1;0.5;yes;;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day1;;;yes
1;m;61;5;no;62;5;old;Fife;1;Simple Discrimination;no;;3;left;;left;1;2;0.666666667;yes;;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day1;;;yes
1;m;61;5;no;62;5;old;Fife;1;Simple Discrimination;no;;4;left;;left;1;3;0.75;no;;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day1;;;yes
1;m;61;5;no;62;5;old;Fife;1;Simple Discrimination;no;;5;right;;right;1;4;0.8;yes;;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day1;;;yes
1;m;61;5;no;62;5;old;Fife;1;Simple Discrimination;no;;6;right;;right;1;5;0.833333333;no;;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day1;;;yes
1;m;61;5;no;62;5;old;Fife;1;Simple Discrimination;no;;7;left;;left;1;6;0.857142857;yes;;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day1;;;yes
1;m;61;5;no;62;5;old;Fife;1;Reversal;no;;1;right;;left;0;0;0;;;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day1;;;yes
1;m;61;5;no;62;5;old;Fife;1;Reversal;no;;2;left;;left;1;1;0.5;yes;;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day1;;;yes
1;m;61;5;no;62;5;old;Fife;1;Reversal;no;;3;left;;left;1;2;0.666666667;no;;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day1;;;yes
1;m;61;5;no;62;5;old;Fife;1;Reversal;no;;4;right;;right;1;3;0.75;yes;;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day1;;;yes
1;m;61;5;no;62;5;old;Fife;1;Reversal;no;;5;right;;right;1;4;0.8;no;;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day1;;;yes
1;m;61;5;no;62;5;old;Fife;1;Reversal;no;;6;left;;left;1;5;0.833333333;yes;;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day1;;;yes
1;m;61;5;no;62;5;old;Fife;1;Reversal;no;;7;left;;left;1;6;0.857142857;no;;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day1;;;yes
1;m;61;5;no;62;5;old;Fife;2;Compound Discrimination;no;;1;left;silverbox_greenbast;right;0;0;0;;;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day2;;;yes
1;m;61;5;no;62;5;old;Fife;2;Compound Discrimination;no;;2;right;silverbox_natstraw;right;1;1;0.5;yes;yes;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day2;;;yes
1;m;61;5;no;62;5;old;Fife;2;Compound Discrimination;no;;3;left;silverbox_greenbast;left;1;2;0.666666667;yes;yes;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day2;;;yes
1;m;61;5;no;62;5;old;Fife;2;Compound Discrimination;no;;4;left;silverbox_natstraw;left;1;3;0.75;no;yes;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day2;;;yes
1;m;61;5;no;62;5;old;Fife;2;Compound Discrimination;no;;5;right;silverbox_greenbast;right;1;4;0.8;yes;yes;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day2;;;yes
1;m;61;5;no;62;5;old;Fife;2;Compound Discrimination;no;;6;right;silverbox_greenbast;right;1;5;0.833333333;no;no;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day2;;;yes
1;m;61;5;no;62;5;old;Fife;2;Compound Discrimination;no;;7;left;silverbox_natstraw;left;1;6;0.857142857;yes;yes;no;7;yes;1;6;0.857;7;1;ID1_Shifting_BoxFilling_m_5y_Day2;;;yes
1;m;61;5;no;62;5;old;Fife;2;EDS;no;;1;right;corkbox_greenfelt;left;0;0;0;;;no;36;no criterion;2;34;0.944;;;ID1_Shifting_BoxFilling_m_5y_Day2;;;yes
1;m;61;5;no;62;5;old;Fife;2;EDS;no;;2;left;corkbox_greenfelt;left;1;1;0.5;yes;no;no;36;no criterion;2;34;0.944;;;ID1_Shifting_BoxFilling_m_5y_Day2;;;yes
