ID;Proportion_CorrectTrials;Phase
1;0.97;Test
1;0.78;Training1
1;0.75;Training2a
1;1;Training2b
2;0.5;Test
2;0.67;Training1
2;0.64;Training2a
2;1;Training2b
3;0.92;Test
3;0.88;Training1
3;1;Training2a
3;1;Training2b
4;0.92;Test
4;0.73;Training1
4;0.67;Training2a
4;1;Training2b
5;0.47;Test
5;0.75;Training1
5;0.75;Training2a
5;0.75;Training2b
6;0.94;Test
6;0.7;Training1
6;0.86;Training2a
6;1;Training2b
7;0.72;Test
7;0.78;Training1
7;0.86;Training2a
7;0.86;Training2b
8;0.53;Test
8;0.78;Training1
8;0.75;Training2a
8;0.86;Training2b
9;0.61;Test
9;0.8;Training1
9;0.67;Training2a
9;0.78;Training2b
11;0.78;Test
11;0.67;Training1
11;0.7;Training2a
11;1;Training2b
12;0.89;Test
12;0.73;Training1
12;0.86;Training2a
12;1;Training2b
14;0.72;Test
14;0.58;Training1
14;0.86;Training2a
14;1;Training2b
15;0.47;Test
15;0.78;Training1
15;0.86;Training2a
15;1;Training2b
18;0.72;Test
18;0.54;Training1
18;0.75;Training2a
18;0.86;Training2b
19;0.47;Test
19;0.67;Training1
19;0.7;Training2a
19;0.86;Training2b
20;0.56;Test
20;0.67;Training1
20;0.7;Training2a
20;0.75;Training2b
21;1;Test
21;0.78;Training1
21;0.75;Training2a
21;0.86;Training2b
23;0.67;Test
23;0.78;Training1
23;0.79;Training2a
23;0.86;Training2b
24;0.67;Test
24;0.7;Training1
24;0.86;Training2a
24;0.82;Training2b
25;0.43;Test
25;0.67;Training1
25;0.6;Training2a
25;0.86;Training2b
31;0.56;Test
31;0.69;Training1
31;0.56;Training2a
31;0.71;Training2b
32;0.08;Test
32;0.69;Training1
32;0.63;Training2a
32;0.86;Training2b
38;0.92;Test
38;0.67;Training1
38;0.67;Training2a
38;0.86;Training2b
40;0.72;Test
40;0.7;Training1
40;0.73;Training2a
40;0.75;Training2b
41;0.39;Test
41;0.7;Training1
41;0.86;Training2a
41;0.75;Training2b
42;0.69;Test
42;0.67;Training1
42;0.75;Training2a
42;0.86;Training2b
44;0.56;Test
44;0.75;Training1
44;0.75;Training2a
44;0.8;Training2b
45;0.58;Test
45;0.75;Training1
45;0.82;Training2a
45;0.69;Training2b
46;0.45;Test
46;0.7;Training1
46;0.78;Training2a
46;0.71;Training2b
47;0.58;Test
47;0.59;Training1
47;0.7;Training2a
47;0.73;Training2b
48;0.67;Test
48;0.61;Training1
48;0.67;Training2a
48;0.86;Training2b
50;0.5;Test
50;0.7;Training1
50;0.75;Training2a
50;0.69;Training2b
51;0.5;Test
51;0.75;Training1
51;0.56;Training2a
51;0.75;Training2b
53;0.94;Test
53;0.73;Training1
53;0.75;Training2a
53;1;Training2b
54;0.69;Test
54;0.8;Training1
54;0.86;Training2a
54;0.86;Training2b
55;0.79;Test
55;0.73;Training1
55;0.73;Training2a
55;1;Training2b
56;0.92;Test
56;0.7;Training1
56;0.86;Training2a
56;1;Training2b
58;0.61;Test
58;0.75;Training1
58;0.75;Training2a
58;0.75;Training2b
59;0.94;Test
59;0.67;Training1
59;0.75;Training2a
59;0.86;Training2b
60;0.67;Test
60;0.75;Training1
60;0.48;Training2a
60;0.75;Training2b
62;0.53;Test
62;0.7;Training1
62;0.68;Training2a
62;0.86;Training2b
64;0.64;Test
64;0.71;Training1
64;0.73;Training2a
64;1;Training2b
65;0.22;Test
65;0.64;Training1
65;0.71;Training2a
65;0.86;Training2b
66;0.53;Test
66;0.75;Training1
66;0.67;Training2a
66;0.75;Training2b
67;0.67;Test
67;0.73;Training1
67;0.75;Training2a
67;0.86;Training2b
68;0;Test
68;0.67;Training1
68;0.86;Training2a
68;1;Training2b
69;0.56;Test
69;0.67;Training1
69;0.7;Training2a
69;0.75;Training2b
70;0.58;Test
70;0.78;Training1
70;0.86;Training2a
70;0.86;Training2b
71;0.69;Test
71;0.73;Training1
71;0.7;Training2a
71;0.78;Training2b
72;0.89;Test
72;0.75;Training1
72;0.75;Training2a
72;1;Training2b
73;0.47;Test
73;0.6;Training1
73;0.7;Training2a
73;0.75;Training2b
74;0.61;Test
74;0.73;Training1
74;0.86;Training2a
74;0.86;Training2b
75;0.53;Test
75;0.73;Training1
75;0.69;Training2a
75;0.86;Training2b
76;0.64;Test
76;0.61;Training1
76;0.75;Training2a
76;0.75;Training2b
77;0.56;Test
77;0.78;Training1
77;0.86;Training2a
77;1;Training2b
78;0.83;Test
78;0.8;Training1
78;0.68;Training2a
78;1;Training2b
79;0.83;Test
79;0.67;Training1
79;0.75;Training2a
79;1;Training2b
80;0.58;Test
80;0.56;Training1
80;0.86;Training2a
80;1;Training2b
81;0.39;Test
81;0.7;Training1
81;0.63;Training2a
81;0.6;Training2b
82;0.6;Test
82;0.82;Training1
82;0.75;Training2a
82;0.69;Training2b
83;0.61;Test
83;0.64;Training1
83;0.86;Training2a
83;0.67;Training2b
84;0.64;Test
84;0.69;Training1
84;0.7;Training2a
84;0.79;Training2b
85;0.75;Test
85;0.62;Training1
85;0.86;Training2a
85;0.75;Training2b
86;0.72;Test
86;0.78;Training1
86;0.7;Training2a
86;0.71;Training2b
87;0.97;Test
87;0.7;Training1
87;0.86;Training2a
87;0.86;Training2b
88;0.47;Test
88;0.62;Training1
88;0.57;Training2a
88;0.86;Training2b
89;0.67;Test
89;0.73;Training1
89;0.86;Training2a
89;0.86;Training2b
91;0.56;Test
91;0.78;Training1
91;0.67;Training2a
