ID ;Sex;Age_months;Age_group;AdditionalSupportNeeds;AgeMonths_midtesting;AgeGroup_midtesting;Mediansplit_midtesting_entiresample;TestingLocation;BPVS_Score;Stopped_Training1;Training1_Success;Training1_NrTrials;Training1_NrErrors;Training1_NrCorrectTrials;Training1_ProportionCorrectTrials;Training2_NrShifts;Training2_Success;Training2_NrTrials;Training2_NrErrors;Training2_NrCorrectTrials;Training2_ProportionCorrectTrials;Proceeded_To_Day2;Video;Warmup_Dropout;Reason_dropout;Warm_up_StoppedEarly;Warmup_StartShelf;Warmup_NrShifts;Warmup_Success;Warmup_NrTrials;Warmup_NrErrors;Warmup_NrCorrectTrials;Warmup_ProportionCorrectTrials;Test_StoppedEarly;Dropout;Reason_Dropout;Phase;Trial_nr;Platform;Rewarded_level;Rewarded_Side;Chosen_level;Chosen_side;Success;Location_change;Platform (left/right);Possible_Switches;Test_NrSwitches;ProportionSwitches;Test_TotalNrTrials;Test_TotalNrMistakes;Test_NrCorrectTrials;Test_ProportionCorrectTrials;Test_NrMistakesDirectlyAfterASwitch(including the switch from the warmup);Test_NrMistakes_CorrectLevel_WrongCup;Test_NrMistakes_WrongLevel;Test_NrMistakes_WrongLevel_ChoseCupThatIsRewardedOnOtherPlatform;Proportion_SwitchingMistakes;Test_NrMistakes_WrongLevel_ChoseCupThatIsNeverRewarded;ProportionSwitchMistakesOutofAllMistakes;comments;;;;;;
1;m;61;5;no;62;5;old;Fife;77;no;yes;9;2;7;0.777777778;1;yes;8;2;6;0.75;yes;ID1_Shifting_Shelf1_m_5y, ID1_Shifting_Shelf2_m_5y;no;;no;left;1;yes;6;0;6;1;no;no;;training_1;1;left;lower;right;lower;right;1;;;11;11;1;36;1;35;0.972222222;1;0;1;1;0.027777778;0;1;;;;;;;
1;m;61;5;no;62;5;old;Fife;77;no;yes;9;2;7;0.777777778;1;yes;8;2;6;0.75;yes;ID1_Shifting_Shelf1_m_5y, ID1_Shifting_Shelf2_m_5y;no;;no;left;1;yes;6;0;6;1;no;no;;training_1;2;left;lower;right;lower;left;0;;;11;11;1;36;1;35;0.972222222;1;0;1;1;0.027777778;0;1;;;;;;;
1;m;61;5;no;62;5;old;Fife;77;no;yes;9;2;7;0.777777778;1;yes;8;2;6;0.75;yes;ID1_Shifting_Shelf1_m_5y, ID1_Shifting_Shelf2_m_5y;no;;no;left;1;yes;6;0;6;1;no;no;;training_1;3;left;lower;left;lower;left;1;;;11;11;1;36;1;35;0.972222222;1;0;1;1;0.027777778;0;1;;;;;;;
1;m;61;5;no;62;5;old;Fife;77;no;yes;9;2;7;0.777777778;1;yes;8;2;6;0.75;yes;ID1_Shifting_Shelf1_m_5y, ID1_Shifting_Shelf2_m_5y;no;;no;left;1;yes;6;0;6;1;no;no;;training_1;4;left;lower;right;lower;right;1;;;11;11;1;36;1;35;0.972222222;1;0;1;1;0.027777778;0;1;;;;;;;
1;m;61;5;no;62;5;old;Fife;77;no;yes;9;2;7;0.777777778;1;yes;8;2;6;0.75;yes;ID1_Shifting_Shelf1_m_5y, ID1_Shifting_Shelf2_m_5y;no;;no;left;1;yes;6;0;6;1;no;no;;training_1;5;left;lower;left;lower;left;1;;;11;11;1;36;1;35;0.972222222;1;0;1;1;0.027777778;0;1;;;;;;;
1;m;61;5;no;62;5;old;Fife;77;no;yes;9;2;7;0.777777778;1;yes;8;2;6;0.75;yes;ID1_Shifting_Shelf1_m_5y, ID1_Shifting_Shelf2_m_5y;no;;no;left;1;yes;6;0;6;1;no;no;;training_1;6;right;upper;left;upper;right;0;;;11;11;1;36;1;35;0.972222222;1;0;1;1;0.027777778;0;1;;;;;;;
1;m;61;5;no;62;5;old;Fife;77;no;yes;9;2;7;0.777777778;1;yes;8;2;6;0.75;yes;ID1_Shifting_Shelf1_m_5y, ID1_Shifting_Shelf2_m_5y;no;;no;left;1;yes;6;0;6;1;no;no;;training_1;7;right;upper;left;upper;left;1;;;11;11;1;36;1;35;0.972222222;1;0;1;1;0.027777778;0;1;;;;;;;
1;m;61;5;no;62;5;old;Fife;77;no;yes;9;2;7;0.777777778;1;yes;8;2;6;0.75;yes;ID1_Shifting_Shelf1_m_5y, ID1_Shifting_Shelf2_m_5y;no;;no;left;1;yes;6;0;6;1;no;no;;training_1;8;right;upper;right;upper;right;1;;;11;11;1;36;1;35;0.972222222;1;0;1;1;0.027777778;0;1;;;;;;;
1;m;61;5;no;62;5;old;Fife;77;no;yes;9;2;7;0.777777778;1;yes;8;2;6;0.75;yes;ID1_Shifting_Shelf1_m_5y, ID1_Shifting_Shelf2_m_5y;no;;no;left;1;yes;6;0;6;1;no;no;;training_1;9;right;upper;left;upper;left;1;;;11;11;1;36;1;35;0.972222222;1;0;1;1;0.027777778;0;1;;;;;;;
1;m;61;5;no;62;5;old;Fife;77;no;yes;9;2;7;0.777777778;1;yes;8;2;6;0.75;yes;ID1_Shifting_Shelf1_m_5y, ID1_Shifting_Shelf2_m_5y;no;;no;left;1;yes;6;0;6;1;no;no;;training_2a;1;left;lower;left;upper;right;0;;;11;11;1;36;1;35;0.972222222;1;0;1;1;0.027777778;0;1;;;;;;;
