Trial;Mean_T2a_ChoseWrongLevel;SD_T2a_ChoseWrongLevel
1;0.834;0.373
2;0.299;0.459
3;0.178;0.384
4;0.178;0.384
5;0.213;0.41
6;0.103;0.305
7;0.118;0.324
8;0.065;0.248
9;0.129;0.337
10;0.182;0.388
11;0.147;0.357
12;0.13;0.339
13;0.083;0.279
14;0.204;0.408
15;0.077;0.27
16;0.167;0.378
17;0.121;0.331
18;0.074;0.267
19;0.136;0.351
20;0;0
21;0.214;0.426
22;0.154;0.375
23;0.083;0.289
24;0;0
25;0.143;0.378
26;0.286;0.488
27;0.167;0.408
28;0;0
29;0.2;0.447
30;0.2;0.447
31;0.2;0.447
32;0.2;0.447
33;0.2;0.447
34;0;0
35;0;0
36;0.333;0.577
