Trial.nr;Mean_proportionCorrect;SD_ProportionCorrect
1;0.358;0.481
2;0.436;0.351
3;0.525;0.261
4;0.566;0.213
5;0.581;0.214
6;0.618;0.194
7;0.616;0.167
8;0.61;0.16
9;0.603;0.147
10;0.607;0.138
11;0.605;0.132
12;0.604;0.127
13;0.602;0.124
14;0.605;0.128
15;0.606;0.124
16;0.599;0.116
17;0.599;0.109
18;0.588;0.11
19;0.598;0.111
20;0.604;0.107
21;0.602;0.112
22;0.597;0.117
23;0.596;0.12
24;0.583;0.119
25;0.51;0.093
26;0.518;0.087
27;0.516;0.092
28;0.51;0.089
29;0.515;0.091
30;0.505;0.08
31;0.511;0.084
32;0.516;0.091
33;0.52;0.098
34;0.522;0.103
35;0.517;0.112
36;0.503;0.106
