ID;Gender;Age_months;Age_group;AdditionalSupportNeeds;AgeMonths_midtesting;AgeGroup_midtesting;Mediansplit_midtesting_entiresample;Dropout;ReasonDropout;StoppedGame;TestingLocation;Criterion_Reached;Trial_no;Trial_Success;Trial_Got_sticker;CumulativeNrofCorrectSearches;CumulativeProportionCorrect;Loc_sticker_changed;Box_change;TotalNr_Trials;NrCorrectTrials;NrErrors;ProportionCorrect;NrTrials_UntilCriterionReached;NrCorrectTrials_UntilCriterionReached;NrErrors_UntilCriterionReached;Video;Comments;BoxChange_NrCorrectTrials;BoxChange_NrTotalTrials;Proportion_CorrectTrials_WhenBoxChanged;NoBoxChange_NrCorrectTrials;NoBoxChange_NrTotalTrials;Proportion_SuccessfulTrials_WhenBoxDidNotChange;LocationChange_TotalNrTrials;LocationChange_NrCorrectTrials;ProportionCorrect_LocationChange;NoLocationChange_TotalNrTrials;NoLocationChange_NrCorrectTrials;ProportionCorrect_NoLocationChange
1;m;61;5;no;62;5;old;no;;no;Fife;yes;1;yes;1;1;1;;;6;6;0;1;6;6;0;ID1_Shifting_Tray_m_5y;;2;2;1;3;3;1;3;3;1;2;2;1
1;m;61;5;no;62;5;old;no;;no;Fife;yes;2;yes;1;2;1;no;yes;6;6;0;1;6;6;0;ID1_Shifting_Tray_m_5y;;2;2;1;3;3;1;3;3;1;2;2;1
1;m;61;5;no;62;5;old;no;;no;Fife;yes;3;yes;1;3;1;no;no;6;6;0;1;6;6;0;ID1_Shifting_Tray_m_5y;;2;2;1;3;3;1;3;3;1;2;2;1
1;m;61;5;no;62;5;old;no;;no;Fife;yes;4;yes;1;4;1;yes;no;6;6;0;1;6;6;0;ID1_Shifting_Tray_m_5y;;2;2;1;3;3;1;3;3;1;2;2;1
1;m;61;5;no;62;5;old;no;;no;Fife;yes;5;yes;1;5;1;yes;yes;6;6;0;1;6;6;0;ID1_Shifting_Tray_m_5y;;2;2;1;3;3;1;3;3;1;2;2;1
1;m;61;5;no;62;5;old;no;;no;Fife;yes;6;yes;1;6;1;yes;no;6;6;0;1;6;6;0;ID1_Shifting_Tray_m_5y;;2;2;1;3;3;1;3;3;1;2;2;1
2;m;42;3;no information;42;3;young;no;;no;Fife;yes;1;no;0;0;0;;;8;6;2;0.75;8;6;2;ID2_Shifting_Tray_m_3y;;3;4;0.75;3;3;1;3;3;1;4;3;0.75
2;m;42;3;no information;42;3;young;no;;no;Fife;yes;2;no;0;0;0;no;yes;8;6;2;0.75;8;6;2;ID2_Shifting_Tray_m_3y;;3;4;0.75;3;3;1;3;3;1;4;3;0.75
2;m;42;3;no information;42;3;young;no;;no;Fife;yes;3;yes;1;1;0.333333333;no;no;8;6;2;0.75;8;6;2;ID2_Shifting_Tray_m_3y;;3;4;0.75;3;3;1;3;3;1;4;3;0.75
2;m;42;3;no information;42;3;young;no;;no;Fife;yes;4;yes;1;2;0.5;yes;no;8;6;2;0.75;8;6;2;ID2_Shifting_Tray_m_3y;;3;4;0.75;3;3;1;3;3;1;4;3;0.75
2;m;42;3;no information;42;3;young;no;;no;Fife;yes;5;yes;1;3;0.6;yes;yes;8;6;2;0.75;8;6;2;ID2_Shifting_Tray_m_3y;;3;4;0.75;3;3;1;3;3;1;4;3;0.75
2;m;42;3;no information;42;3;young;no;;no;Fife;yes;6;yes;1;4;0.666666667;yes;no;8;6;2;0.75;8;6;2;ID2_Shifting_Tray_m_3y;;3;4;0.75;3;3;1;3;3;1;4;3;0.75
2;m;42;3;no information;42;3;young;no;;no;Fife;yes;7;yes;1;5;0.714285714;no;yes;8;6;2;0.75;8;6;2;ID2_Shifting_Tray_m_3y;;3;4;0.75;3;3;1;3;3;1;4;3;0.75
2;m;42;3;no information;42;3;young;no;;no;Fife;yes;8;yes;1;6;0.75;no;yes;8;6;2;0.75;8;6;2;ID2_Shifting_Tray_m_3y;;3;4;0.75;3;3;1;3;3;1;4;3;0.75
3;m;43;3;no information;44;3;young;no;;no;Fife;yes;1;no;0;0;0;;;9;7;2;0.777777778;9;7;2;ID3_Shifting_Tray_m_3y;;5;5;1;2;3;0.666666667;3;3;1;5;4;0.8
3;m;43;3;no information;44;3;young;no;;no;Fife;yes;2;yes;1;1;0.5;no;yes;9;7;2;0.777777778;9;7;2;ID3_Shifting_Tray_m_3y;;5;5;1;2;3;0.666666667;3;3;1;5;4;0.8
3;m;43;3;no information;44;3;young;no;;no;Fife;yes;3;no;0;1;0.333333333;no;no;9;7;2;0.777777778;9;7;2;ID3_Shifting_Tray_m_3y;;5;5;1;2;3;0.666666667;3;3;1;5;4;0.8
3;m;43;3;no information;44;3;young;no;;no;Fife;yes;4;yes;1;2;0.5;yes;no;9;7;2;0.777777778;9;7;2;ID3_Shifting_Tray_m_3y;;5;5;1;2;3;0.666666667;3;3;1;5;4;0.8
3;m;43;3;no information;44;3;young;no;;no;Fife;yes;5;yes;1;3;0.6;yes;yes;9;7;2;0.777777778;9;7;2;ID3_Shifting_Tray_m_3y;;5;5;1;2;3;0.666666667;3;3;1;5;4;0.8
3;m;43;3;no information;44;3;young;no;;no;Fife;yes;6;yes;1;4;0.666666667;yes;no;9;7;2;0.777777778;9;7;2;ID3_Shifting_Tray_m_3y;;5;5;1;2;3;0.666666667;3;3;1;5;4;0.8
3;m;43;3;no information;44;3;young;no;;no;Fife;yes;7;yes;1;5;0.714285714;no;yes;9;7;2;0.777777778;9;7;2;ID3_Shifting_Tray_m_3y;;5;5;1;2;3;0.666666667;3;3;1;5;4;0.8
3;m;43;3;no information;44;3;young;no;;no;Fife;yes;8;yes;1;6;0.75;no;yes;9;7;2;0.777777778;9;7;2;ID3_Shifting_Tray_m_3y;;5;5;1;2;3;0.666666667;3;3;1;5;4;0.8
3;m;43;3;no information;44;3;young;no;;no;Fife;yes;9;yes;1;7;0.777777778;no;yes;9;7;2;0.777777778;9;7;2;ID3_Shifting_Tray_m_3y;;5;5;1;2;3;0.666666667;3;3;1;5;4;0.8
