ID;Gender;AgeMonths_midtesting;AgeGroup_midtesting;Mediansplit_midtesting_entiresample;Dropout;StoppedGame;Phase;Trial;AverageDistanceAcrossTestTrials;NurseryCode;TestingLocation
1;m;62;5;old;no;no;Warm-up;1;0.436;1;Fife
1;m;62;5;old;no;no;Warm-up;2;0.436;1;Fife
1;m;62;5;old;no;no;Test;1;0.436;1;Fife
1;m;62;5;old;no;no;Test;2;0.436;1;Fife
1;m;62;5;old;no;no;Test;3;0.436;1;Fife
1;m;62;5;old;no;no;Test;4;0.436;1;Fife
1;m;62;5;old;no;no;Test;5;0.436;1;Fife
1;m;62;5;old;no;no;Test;6;0.436;1;Fife
1;m;62;5;old;no;no;Test;7;0.436;1;Fife
1;m;62;5;old;no;no;Test;8;0.436;1;Fife
1;m;62;5;old;no;no;Test;9;0.436;1;Fife
1;m;62;5;old;no;no;Test;10;0.436;1;Fife
1;m;62;5;old;no;no;Test;11;0.436;1;Fife
1;m;62;5;old;no;no;Test;12;0.436;1;Fife
2;m;42;3;young;no;no;Warm-up;1;0.839;1;Fife
2;m;42;3;young;no;no;Warm-up;2;0.839;1;Fife
2;m;42;3;young;no;no;Test;1;0.839;1;Fife
2;m;42;3;young;no;no;Test;2;0.839;1;Fife
2;m;42;3;young;no;no;Test;3;0.839;1;Fife
2;m;42;3;young;no;no;Test;4;0.839;1;Fife
2;m;42;3;young;no;no;Test;5;0.839;1;Fife
2;m;42;3;young;no;no;Test;6;0.839;1;Fife
2;m;42;3;young;no;no;Test;7;0.839;1;Fife
2;m;42;3;young;no;no;Test;8;0.839;1;Fife
2;m;42;3;young;no;no;Test;9;0.839;1;Fife
2;m;42;3;young;no;no;Test;10;0.839;1;Fife
2;m;42;3;young;no;no;Test;11;0.839;1;Fife
2;m;42;3;young;no;no;Test;12;0.839;1;Fife
3;m;44;3;young;no;no;Warm-up;1;0.971;1;Fife
3;m;44;3;young;no;no;Warm-up;2;0.971;1;Fife
3;m;44;3;young;no;no;Test;1;0.971;1;Fife
3;m;44;3;young;no;no;Test;2;0.971;1;Fife
3;m;44;3;young;no;no;Test;3;0.971;1;Fife
3;m;44;3;young;no;no;Test;4;0.971;1;Fife
3;m;44;3;young;no;no;Test;5;0.971;1;Fife
3;m;44;3;young;no;no;Test;6;0.971;1;Fife
3;m;44;3;young;no;no;Test;7;0.971;1;Fife
3;m;44;3;young;no;no;Test;8;0.971;1;Fife
3;m;44;3;young;no;no;Test;9;0.971;1;Fife
3;m;44;3;young;no;no;Test;10;0.971;1;Fife
3;m;44;3;young;no;no;Test;11;0.971;1;Fife
3;m;44;3;young;no;no;Test;12;0.971;1;Fife
4;m;63;5;old;no;no;Warm-up;1;1.358;1;Fife
4;m;63;5;old;no;no;Warm-up;2;1.358;1;Fife
4;m;63;5;old;no;no;Test;1;1.358;1;Fife
4;m;63;5;old;no;no;Test;2;1.358;1;Fife
4;m;63;5;old;no;no;Test;3;1.358;1;Fife
4;m;63;5;old;no;no;Test;4;1.358;1;Fife
4;m;63;5;old;no;no;Test;5;1.358;1;Fife
4;m;63;5;old;no;no;Test;6;1.358;1;Fife
4;m;63;5;old;no;no;Test;7;1.358;1;Fife
4;m;63;5;old;no;no;Test;8;1.358;1;Fife
4;m;63;5;old;no;no;Test;9;1.358;1;Fife
4;m;63;5;old;no;no;Test;10;1.358;1;Fife
4;m;63;5;old;no;no;Test;11;1.358;1;Fife
4;m;63;5;old;no;no;Test;12;1.358;1;Fife
5;f;46;3;young;no;no;Warm-up;1;1.355;1;Fife
5;f;46;3;young;no;no;Warm-up;2;1.355;1;Fife
5;f;46;3;young;no;no;Test;1;1.355;1;Fife
5;f;46;3;young;no;no;Test;2;1.355;1;Fife
