ID;Gender;Age_months;Age_group;AdditionalSupportNeeds;AgeMonths_midtesting;AgeGroup_midtesting;TestingLocation;BPVS_Score;Mediansplit_midtesting_entiresample;Dropout;StoppedGame;Phase;Trial;Nr_Searches_UntilRewardFound (4= did not find);Grid_Choices;2ndTaskCorrect;Comment;choice01;choice01_x;choice01_y;toy_x;toy_y;distance_c01;choice02;choice03;AverageDistanceAcrossTestTrials;Got_Toy (1 = yes, 0 = no);Cumulative_SumofToys_TestTrials;Cumulative_Average_Distance;Video;
1;m;61;5;no;62;5;Fife;77;old;no;no;Warm-up;1;1;7;;video cut off last couple of trials;7;3;2;3;2;0.0000;;;0.436;1;;;ID1_WM_Grid_m_5y;
1;m;61;5;no;62;5;Fife;77;old;no;no;Warm-up;2;1;14;;video cut off last couple of trials;14;2;4;2;4;0.0000;;;0.436;1;;;ID1_WM_Grid_m_5y;
1;m;61;5;no;62;5;Fife;77;old;no;no;Test;1;3;9, 9, 5;yes;video cut off last couple of trials;9;1;3;1;2;1.0000;9;5;0.436;1;1;1.0;ID1_WM_Grid_m_5y;
1;m;61;5;no;62;5;Fife;77;old;no;no;Test;2;1;14;yes;video cut off last couple of trials;14;2;4;2;4;0.0000;;;0.436;1;2;.50;ID1_WM_Grid_m_5y;
1;m;61;5;no;62;5;Fife;77;old;no;no;Test;3;2;2, 3;no;video cut off last couple of trials;2;2;1;3;1;1.0000;3;;0.436;1;3;.667;ID1_WM_Grid_m_5y;
1;m;61;5;no;62;5;Fife;77;old;no;no;Test;4;1;9;yes;choice corrected - video cut off last couple of trials;9;1;3;1;3;0.0000;;;0.436;1;4;.50;ID1_WM_Grid_m_5y;
1;m;61;5;no;62;5;Fife;77;old;no;no;Test;5;1;2;yes;video cut off last couple of trials;2;2;1;2;1;0.0000;;;0.436;1;5;.40;ID1_WM_Grid_m_5y;
1;m;61;5;no;62;5;Fife;77;old;no;no;Test;6;4;3, 7, 2;yes;video cut off last couple of trials;3;3;1;4;3;2.2361;7;2;0.436;0;5;.706;ID1_WM_Grid_m_5y;
1;m;61;5;no;62;5;Fife;77;old;no;no;Test;7;1;10;yes;video cut off last couple of trials;10;2;3;2;3;0.0000;;;0.436;1;6;.605;ID1_WM_Grid_m_5y;
1;m;61;5;no;62;5;Fife;77;old;no;no;Test;8;1;15;yes;video cut off last couple of trials;15;3;4;3;4;0.0000;;;0.436;1;7;.530;ID1_WM_Grid_m_5y;
1;m;61;5;no;62;5;Fife;77;old;no;no;Test;9;1;8;yes;video cut off last couple of trials;8;4;2;4;2;0.0000;;;0.436;1;8;.471;ID1_WM_Grid_m_5y;
1;m;61;5;no;62;5;Fife;77;old;no;no;Test;10;1;6;no;video cut off last couple of trials;6;2;2;2;2;0.0000;;;0.436;1;9;.424;ID1_WM_Grid_m_5y;
1;m;61;5;no;62;5;Fife;77;old;no;no;Test;11;1;11;yes;video cut off last couple of trials;11;3;3;3;3;0.0000;;;0.436;1;10;.385;ID1_WM_Grid_m_5y;
1;m;61;5;no;62;5;Fife;77;old;no;no;Test;12;2;11, 7;yes;video cut off last couple of trials;11;3;3;3;2;1.0000;7;;0.436;1;11;.436;ID1_WM_Grid_m_5y;
2;m;42;3;no information;42;3;Fife;;young;no;no;Warm-up;1;1;7;;;7;3;2;3;2;0.0000;;;0.839;1;;;ID2_WM_Grid_m_3y;
